#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Magnetometer Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       H0>16-Sec Level 2 Data
#     DESCRIPTOR                      MAG>ACE Magnetic Field Instrument
#     DATA_VERSION                    5
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20110829
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      the ACE Science Center Level 2 Data website
#     HTTP_LINK                       http://www.srl.caltech.edu/ACE/ASC/level2/index.html
#     TEXT                            MAG - ACE Magnetic Field Experiment
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     The quality of ACE level 2 data is such that it is suitable for serious
#                                     scientific study.  However, to avoid confusion and misunderstanding, it
#                                     is recommended that users consult with the appropriate ACE team members
#                                     before publishing work derived from the data. The ACE team has worked
#                                     hard to ensure that the level 2 data are free from errors, but the team
#                                     cannot accept responsibility for erroneous data, or for misunderstandings
#                                     about how the data may be used. This is especially true if the appropriate
#                                     ACE team members are not consulted before publication. At the very
#                                     least, preprints should be forwarded to the ACE team before publication.
#     MODS                            Initial Release 9/7/01
#                                     12/04/02: Fixed description of Epoch time variable.
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 ac_h0_mfi_00000000_v01
#     LOGICAL_SOURCE                  AC_H0_MFI
#     LOGICAL_SOURCE_DESCRIPTION      H0 - ACE Magnetic Field 16-Second Level 2 Data
#     PI_NAME                         N. Ness
#     PI_AFFILIATION                  Bartol Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     TIME_RESOLUTION                 16 second
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, N. Ness of Bartol Research
#                                     Institute
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     ALT_LOGICAL_SOURCE              ACE_MAG_Solar-Wind-Magnetic-Field-Level2-H0_16sec_cdf
#     SPASE_DATASETRESOURCEID         spase://VHO/NumericalData/ACE/MAG/L2_PT16S
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. B-field magnitude
#  3. Magnetic field vector in GSM coordinates (16 sec)
#
EPOCH                           <|B|>         BX_(GSM)         BY_(GSM)         BZ_(GSM)
                                      (@_x_component_) (@_y_component_) (@_z_component_)
dd-mm-yyyy hh:mm:ss.ms             nT               nT               nT               nT
06-01-2011 18:00:00.000       4.32000        -0.656000          1.42200          4.02200
06-01-2011 18:00:16.000       4.27500        -0.846000          1.47400          3.90700
06-01-2011 18:00:32.000       4.30600         -1.13000          1.56700          3.84400
06-01-2011 18:00:48.000       4.60200         0.451000          1.34600          4.28400
06-01-2011 18:01:04.000       4.61800         0.430000          1.19200          4.32300
06-01-2011 18:01:20.000       4.55400         0.125000          1.04300          4.25900
06-01-2011 18:01:36.000       4.31100         -1.49200          1.55200          3.72100
06-01-2011 18:01:52.000       4.30400         -1.51700          1.48500          3.73900
06-01-2011 18:02:08.000       4.17600         -1.09800          1.24800          3.81300
06-01-2011 18:02:24.000       4.50000         -1.01200          1.34500          4.16300
06-01-2011 18:02:40.000       4.68500         -1.11100          1.61200          4.25300
06-01-2011 18:02:56.000       4.71600         -1.32900          1.58500          4.22800
06-01-2011 18:03:12.000       4.61500         -1.54300          1.52800          4.05400
06-01-2011 18:03:28.000       3.97700         -2.24800         0.514000          2.73400
06-01-2011 18:03:44.000       3.52600         -3.34900        -0.490000         0.894000
06-01-2011 18:04:00.000       3.70400         -3.06500        -0.190000          2.00600
06-01-2011 18:04:16.000       4.87800        -0.275000          1.09700          4.73900
06-01-2011 18:04:32.000       4.54200        -0.786000          1.18300          4.30000
06-01-2011 18:04:48.000       5.12100        -0.578000          1.23400          4.92000
06-01-2011 18:05:04.000       5.44600        -0.458000         0.442000          5.27900
06-01-2011 18:05:20.000       4.70100        -0.346000        -0.482000          4.64000
06-01-2011 18:05:36.000       4.49500        -0.143000         -1.15200          4.19900
06-01-2011 18:05:52.000       5.12100          1.07900         -1.98200          4.58800
06-01-2011 18:06:08.000       4.91000          1.24900         -2.08800          4.26000
06-01-2011 18:06:24.000       4.47500          1.21300         -2.10200          3.75400
06-01-2011 18:06:40.000       3.87200         0.477000         -1.78100          3.32700
06-01-2011 18:06:56.000       3.69400         0.844000         -2.11100          2.89900
06-01-2011 18:07:12.000       3.27400         0.873000         -1.90300          2.50800
06-01-2011 18:07:28.000       3.55900          1.11200         -2.09000          2.64300
06-01-2011 18:07:44.000       3.72700          1.08600         -2.33800          2.67400
06-01-2011 18:08:00.000       3.56000         0.940000         -2.16400          2.57100
06-01-2011 18:08:16.000       3.43600         0.892000         -2.01500          2.63100
06-01-2011 18:08:32.000       3.32500         0.425000         -1.66300          2.62200
06-01-2011 18:08:48.000       2.70800         -1.07400          1.63300          1.58200
06-01-2011 18:09:04.000       3.22100         -1.15800         0.487000          2.86200
06-01-2011 18:09:20.000       3.31600         -1.41700          1.17400          2.72600
06-01-2011 18:09:36.000       3.56400        -0.976000          2.22400          2.58600
06-01-2011 18:09:52.000       2.96400         -1.13200          2.01700          1.76600
06-01-2011 18:10:08.000       2.22400         -1.21000          1.26400          1.34900
06-01-2011 18:10:24.000       2.25300         -1.20800          1.35400          1.25700
06-01-2011 18:10:40.000       2.63200         -1.59100          1.67500          1.12200
06-01-2011 18:10:56.000       2.73200         -1.53800          2.23600       -0.0650000
06-01-2011 18:11:12.000       2.88500         -1.88000          2.16800         0.254000
06-01-2011 18:11:28.000       1.96200         -1.13300          1.51700         0.424000
06-01-2011 18:11:44.000       2.62700         -1.23300          1.81600          1.40800
06-01-2011 18:12:00.000       3.06400         -1.27700          2.01200          1.92000
06-01-2011 18:12:16.000       2.91100         -1.17700          1.77700          1.97600
06-01-2011 18:12:32.000       2.96000         0.137000        0.0410000          1.60700
